COUNTYNAME,DATETIME,DATE,LON,LAT,PK
Camden,12/12/2013 10:26:40 PM,12/12/2013,-75.0229,39.98873,957
Atlantic,3/31/2013 3:24:01 PM,3/31/2013,-74.55733,39.41571,958
Atlantic,3/31/2013 3:09:19 PM,3/31/2013,-74.42153,39.36434,959
Burlington,1/25/2014 2:41:28 PM,1/25/2014,-75.0368,40.00227,960
Burlington,6/16/2013 11:30:31 AM,6/16/2013,-74.92212,39.88349,961
Camden,9/2/2013 12:05:23 PM,9/2/2013,-74.90117,39.71769,962
Camden,8/6/2013 8:51:02 PM,8/6/2013,-74.92329,39.84643,963
Atlantic,9/2/2013 12:41:00 PM,9/2/2013,-74.43735,39.36029,964
Camden,8/23/2013 5:11:07 PM,8/23/2013,-75.02113,39.98727,965
Camden,8/23/2013 2:09:26 PM,8/23/2013,-75.02764,39.94974,966
Atlantic,2/14/2013 3:57:54 PM,2/14/2013,-74.42415,39.36168,967
Burlington,2/14/2013 12:37:21 PM,2/14/2013,-75.04059,40.00875,968
Camden,12/12/2013 9:22:19 PM,12/12/2013,-74.87923,39.66108,969
Camden,12/27/2013 6:57:26 PM,12/27/2013,-75.02705,39.99182,970
Burlington,8/6/2013 9:36:20 PM,8/6/2013,-75.03799,40.00646,971
Atlantic,2/14/2013 5:17:01 PM,2/14/2013,-74.4284,39.36221,972
Camden,5/12/2013 12:38:39 PM,5/12/2013,-74.89703,39.70978,973
Camden,12/12/2013 10:29:22 PM,12/12/2013,-75.02655,39.9916,974
Atlantic,2/14/2013 1:50:28 PM,2/14/2013,-74.74808,39.55911,975
Burlington,3/31/2013 4:15:03 PM,3/31/2013,-74.99627,39.96339,976
Camden,1/25/2014 2:59:00 PM,1/25/2014,-75.02892,39.94297,977
Camden,6/20/2013 1:57:18 PM,6/20/2013,-75.0812,39.93512,978
Camden,1/25/2014 2:58:33 PM,1/25/2014,-75.02961,39.94008,979
